0064100043014,3.0;
0064100043114,0;
1223000000614,3.8;
1800100000214,0;
0064100043214,1.8;
2000100000614,6.1047;
0064100043314,1.6;
0001100004714,0.0;
1113700000314,0;
0064100043414,3.8;
0064100043514,0;
0675000001114,1.4;
0064100043614,1.1333;
0064100043714,0;
0064100043814,0;
0000700003714,1.2;
0064100043914,0;
0000600003714,0;
1215100013714,0;
1215100013814,0;
0001700003114,1.0;
0001200008514,0.4;
1215100013914,0;
0912000000714,-3.6333;
1215100014014,0;
0000900005314,-3.6333;
1215100014114,0;
0000400003214,-3.6333;
1511100001014,2.2;
0912000000814,0.9667;
1215100014214,0;
1111500000414,1.0;
0000900005414,0.9667;
0678000001014,1.4;
0000400003314,0.9667;
0912000000914,0.3667;
0663000000414,1.4;
1215100014314,0;
0000900005514,0.3667;
3670000000714,1.4;
0912000001014,3.3667;
0000900005614,3.3667;
0443000000414,1.4;
1215100014414,0.0;
1215100014514,0.0;
1215100014614,0.0;
1215100014714,0.0;
1215100014814,0.0;
1215100014914,0.0;
0064100044014,0;
1139000000514,1.4;
1857500003714,1.4;
1857700001914,1.4;
1857800002014,1.4;
1857600002114,1.4;
1857200003714,1.4;
1860000000514,1.4;
0413100001214,1.4;
2116000000514,0.7333;
0210000002414,1.4;
0210000002514,0.5333;
0063200000514,1.4;
0001200008614,-0.4;
0002100001214,0.0;
1222600001514,0;
0610100003114,2.4;
0064100044114,0;
0610100003214,2.4;
1411100000514,1.4;
2135500000414,16.1334;
2014300000614,4.0;
0064100044214,0;
0064100044314,0;
0675000001214,0.8;
1613100001014,1.4;
1031500001614,1.4;
1031500001714,1.4;
0001700003214,1.4;
0064100044414,0;
0063300000514,1.4;
0846000000514,1.4;
1011000000714,1.4;
0681000001814,1.4;
1511100001114,1.4;
0064100044514,0;
0064100044614,0;
0001400001414,1.2;
0000800002214,1.4;
0064100044714,0;
0000900005714,1.4;
0681200001014,0.9667;
0064100044814,0;
0064100044914,0;
0064100045014,0;
0064100045114,0;
0064100045214,0;
0064100045314,0;
1857600002214,0;
1857600002314,0.0;
1857600002414,0;
1236000000614,2.4;
0945100001014,1.4333;
0064100045414,0;
0064100045514,0;
1857200003814,0;
0001500001014,1.4;
0002000001814,1.4;
0001000003014,1.4;
0001100004814,1.4;
0064100045614,0;
0064100045714,0;
0064100045814,0;
0943700000714,0.3;
0001800000914,1.4;
0000400003414,1.4;
0000400003514,1.4;
0000600003814,1.4;
1711000000514,0;
0000700003814,0.0;
0000700003914,0;
0000700004014,1.4;
2901000000514,1.4;
0064100045914,0;
1142500000414,1.4;
0943700000814,1.4;
0410100000414,1.4;
0682000000614,1.4;
1236000000714,1.4;
0944800000414,1.4;
0911100000414,1.4;
0933800001314,1.4;
0821000000614,1.4;
0861000000414,1.4;
1010000000514,1.4;
3600100000614,1.4;
0819900000414,1.4;
0064100046014,0;
0681200001114,1.4;
0001100004914,0;
0610100003314,1.4;
1613100001114,1.0;
0610100003414,1.6;
2210300001614,1.4;
0001400001514,1.4;
0002100001314,1.4;
0001200008714,1.4;
0000500001814,1.4;
0001600004314,1.4;
0001300000714,1.4;
0002700005514,1.4;
0001600004414,0.6;
0681200001214,0.3333;
1613100001214,0;
1857600002514,0.9333;
0610100003514,0;
0064100046114,0;
1816400006614,0.0;
1113100001014,1.6;
0064100046214,0;
0064100046314,0;
0001100005014,0.8;
1111200000514,0.6;
0064100046414,0;
0063700006114,0;
0002100001414,0.7667;
0000800002314,0.4;
1111200000614,2.3333;
0610000000814,0.8;
0064100046514,0;
0610000000914,2.0;
0002100001514,2.0;
1215100015014,0.0;
0001200008814,0.6;
0610100003614,1.6;
0001700003314,4.2571;
1860000000614,2.4222;
0063700006214,0;
0911100000514,3.1;
2510100001414,0.4;
1857500003814,0.3333;
0064100046614,0;
0063700006314,0;
0000800002414,0.3333;
0001200008914,0;
0064100046714,0;
0411100001314,1.2;
1026500000714,1.6;
0000900005814,2.6;
0001500001114,0;
0673800002014,0;
1610100002214,0.5667;
2510100001514,0.8;
0610100003714,0;
2510100001614,0;
0000600003914,0;
0411100001414,0.8;
0064100046814,0;
0064100046914,0;
0000800002514,7.3635;
0064100047014,0;
0495000000714,0;
0000800002614,7.3635;
0064100047114,1.5334;
0000800002714,1.8;
0000800002814,2.0;
0821000000714,1.0;
1113100001114,2.1333;
0064100047214,0;
1113100001214,1.0;
0000800002914,0;
1215100015114,1.0;
0064100047314,0;
0064100047414,0;
0064100047514,0;
1215100015214,1.4;
0064100047614,0;
2510100001714,2.8;
0917600000314,2.8;
0064100047714,0;
1215100015314,1.4;
0413100001314,3.5333;
1215100015414,1.4;
0064100047814,0;
0064100047914,0;
0918300000314,2.8;
1215100015514,1.4;
0064100048014,0;
